2,2,2,3,3,4,5,5,6,7,3,7,8,9,10,11,12,13,14,15,16
2,2,3,3,4,5,5,6,7,8,"3,5",9,10,11,12,13,14,15,16,18,19
2,3,3,4,5,5,6,7,8,9,4,10,11,12,13,15,16,17,19,20,22
2,3,4,4,5,6,7,8,9,10,"4,5",11,12,14,15,16,18,19,21,23,24
3,3,4,5,6,7,8,9,10,11,5,12,14,15,17,18,20,22,23,25,27
3,4,4,5,6,7,8,10,11,12,"5,5",14,15,17,18,20,22,24,26,28,30
3,4,5,6,7,8,9,10,12,13,6,15,16,18,20,22,24,26,28,30,32
3,4,5,6,7,9,10,11,13,14,"6,5",16,18,20,22,24,26,28,30,33,35
4,5,6,7,8,9,11,12,14,15,7,17,19,21,23,25,28,30,33,35,38
4,5,6,7,9,10,11,13,15,17,"7,5",19,21,23,25,27,30,32,35,38,41
4,5,6,8,9,11,12,14,16,18,8,20,22,24,27,29,32,34,37,40,43
5,6,7,9,10,12,14,16,18,20,9,22,25,27,30,33,36,39,42,45,49
5,7,8,10,11,13,15,17,20,22,10,25,27,30,33,36,40,43,47,50,54
6,7,9,11,13,15,17,19,22,24,11,27,30,33,37,40,44,47,51,55,59
6,8,10,12,14,16,18,21,24,27,12,30,33,36,40,44,48,52,56,60,65
7,9,11,13,15,17,20,23,26,29,13,32,36,39,43,47,52,56,61,65,70
8,9,11,14,16,19,21,24,28,31,14,35,38,42,47,51,55,60,65,70,76
30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
17,19,20,21,23,24,25,27,28,30,3,32,33,35,37,38,40,42,44,46,48
20,22,23,25,26,28,30,31,33,35,"3,5",37,39,41,43,45,47,49,51,54,56
23,25,27,28,30,32,34,36,38,40,4,42,44,47,49,51,54,56,59,61,64
26,28,30,32,34,36,38,40,43,45,"4,5",47,50,52,55,58,60,63,66,69,72
29,31,33,35,38,40,42,45,47,50,5,53,55,58,61,64,67,70,73,77,80
32,34,37,39,41,44,47,49,52,55,"5,5",58,61,64,67,70,74,77,81,84,88
35,37,40,42,45,48,51,54,57,60,6,63,67,70,73,77,81,84,88,92,96
38,40,43,46,49,52,55,58,62,65,"6,5",68,72,76,79,83,87,91,95,100,104
41,43,46,50,53,56,59,63,66,70,7,74,78,82,86,90,94,98,103,107,112
44,47,50,53,56,60,64,67,71,75,"7,5",79,83,87,92,96,101,105,110,115,120
46,50,53,57,60,64,68,72,76,80,8,84,89,93,98,103,107,112,117,123,128
52,56,60,64,68,72,76,81,85,90,9,95,100,105,110,115,121,126,132,138,144
58,62,66,71,75,80,85,90,95,100,10,105,111,116,122,128,134,140,147,153,160
64,68,73,78,83,88,93,99,104,110,11,116,122,128,134,141,148,154,161,169,176
70,75,80,85,90,96,102,108,114,120,12,126,133,140,147,154,161,168,176,184,192
75,81,86,92,98,104,110,117,123,130,13,137,144,151,159,167,174,183,191,199,208
81,87,93,99,105,112,119,126,133,140,14,147,155,163,171,179,188,197,205,214,224
50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,
50,52,54,56,58,61,63,65,68,70,3,73,75,78,80,83,85,88,91,94,96
58,61,63,66,68,71,73,76,79,82,"3,5",85,87,90,93,96,100,103,106,109,112
67,69,72,75,78,81,84,87,90,93,4,97,100,103,107,110,114,117,121,125,128
75,78,81,84,88,91,94,98,102,105,"4,5",109,112,116,120,124,128,132,136,140,145
83,87,90,94,97,101,105,109,113,117,5,121,125,129,133,138,142,147,151,156,161
92,95,99,103,107,111,115,120,124,128,"5,5",133,137,142,147,152,156,161,166,171,177
100,104,108,113,117,121,126,131,135,140,6,145,150,155,160,165,171,176,182,187,193
108,113,117,122,127,132,136,142,147,152,"6,5",157,162,168,174,179,185,191,197,203,209
117,121,126,131,136,142,147,152,158,163,7,169,175,181,187,193,199,205,212,218,225
125,130,135,141,146,152,157,163,169,175,"7,5",181,187,194,200,207,213,220,227,234,241
133,139,144,150,156,162,168,174,180,187,8,193,200,207,214,221,228,235,242,249,257
150,156,162,169,175,182,189,196,203,210,9,218,225,233,240,248,256,264,272,281,289
167,173,180,188,195,202,210,218,226,234,10,242,250,258,267,276,284,293,303,312,321
183,191,199,206,214,223,231,239,248,257,11,266,275,284,294,303,313,323,333,343,353
200,208,217,225,234,243,252,261,271,280,12,290,300,310,320,331,341,352,363,374,385
70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,
99,102,105,108,111,114,117,120,124,127,3,130,133,137,140,144,147,151,154,158,161
116,119,123,126,130,133,137,140,144,148,"3,5",152,156,160,164,168,172,176,180,184,188
132,136,140,144,148,152,156,161,165,169,4,173,178,182,187,191,196,201,206,210,215
149,153,158,162,167,171,176,181,185,190,"4,5",195,200,205,210,215,221,226,231,237,242
165,170,175,180,185,190,195,201,206,211,5,217,222,228,234,239,245,251,257,263,269
182,187,193,198,204,209,215,221,227,232,"5,5",238,245,251,257,263,270,276,283,289,296
198,204,210,216,222,228,234,241,247,254,6,260,267,274,280,287,294,301,308,316,323
215,221,228,234,241,247,254,261,268,275,"6,5",282,289,296,304,311,319,326,334,342,350
232,238,245,252,259,266,274,281,288,296,7,304,311,319,327,335,343,351,360,368,377
248,255,263,270,278,285,293,301,309,317,"7,5",325,334,342,350,359,368,377,385,394,404
265,272,280,288,296,304,313,321,330,338,8,347,356,365,374,383,392,402,411,421,430
